DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
30/09/2013;;3.1.01.02.0010;2.1.03.02.0001;4813,83;;PROV. FÉRIAS REF. AO MÊS - REPARO ÁGUA;01;01;;;;;
30/09/2013;;3.1.01.02.0010;2.1.03.02.0001;538,94;;PROV. FÉRIAS REF. AO MÊS - BETUME.;01;01;;;;;
30/09/2013;;3.1.01.02.0010;2.1.03.02.0001;880,88;;PROV. FÉRIAS REF. AO MÊS - EPP.;01;01;;;;;
30/09/2013;;3.1.01.02.0010;2.1.03.02.0001;2485,23;;PROV. FÉRIAS REF. AO MÊS - ESPUMA.;01;01;;;;;
30/09/2013;;3.1.01.02.0010;2.1.03.02.0001;1017021;;PROV. FÉRIAS REF. AO MÊS - PARA SOL.;01;01;;;;;
30/09/2013;;3.1.01.02.0010;2.1.03.02.0001;7507,45;;PROV. FÉRIAS REF. AO MÊS - TAPETE.;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.02.0002;426,61;;PROV. INSS S/ FÉRIAS REF. AO MÊS - ACÚSTICA.;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.02.0002;481,2;;PROV. INSS S/ FÉRIAS REF. AO MÊS - REPARO ÁGUA.;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.02.0002;62,28;;PROV. INSS S/ FÉRIAS REF. AO MÊS - BETUME.;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.02.0002;82,99;;PROV. INSS S/ FÉRIAS REF. AO MÊS - EPP.;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.02.0002;200,08;;PROV. INSS S/ FÉRIAS REF. AO MÊS - ESPUMA.;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.02.0002;996,64;;PROV. INSS S/ FÉRIAS REF. AO MÊS - PARA SOL.;01;01;;;;;
30/09/2013;;3.1.01.02.0014;2.1.03.02.0002;734,7;;PROV. INSS S/ FÉRIAS REF. AO MÊS - TAPETE.;01;01;;;;;
30/09/2013;;3.1.01.02.0011;2.1.03.02.0003;346,4;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - ACÚSTICA.;01;01;;;;;
30/09/2013;;3.1.01.02.0011;2.1.03.02.0003;385,08;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - REPARO ÁGUA.;01;01;;;;;
30/09/2013;;3.1.01.02.0011;2.1.03.02.0003;46,7;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - BETUME.;01;01;;;;;
30/09/2013;;3.1.01.02.0011;2.1.03.02.0003;70,47;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - EPP.;01;01;;;;;
30/09/2013;;3.1.01.02.0011;2.1.03.02.0003;198,82;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - ESPUMA.;01;01;;;;;
30/09/2013;;3.1.01.02.0011;2.1.03.02.0003;813,62;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - PARA SOL.;01;01;;;;;
30/09/2013;;3.1.01.02.0011;2.1.03.02.0003;600,6;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - TAPETE.;01;01;;;;;
30/09/2013;;3.1.02.01.0005;2.1.03.02.0001;5619,3;;PROV. FÉRIAS REF. AO MÊS - LOGÍSTICA.;01;01;;;;;
30/09/2013;;3.1.02.01.0005;2.1.03.02.0001;4956,48;;PROV. FÉRIAS REF. AO MÊS - QUALIDADE.;01;01;;;;;
30/09/2013;;3.1.02.01.0005;2.1.03.02.0001;2133,53;;PROV. FÉRIAS REF. AO MÊS - MANUTENÇÃO.;01;01;;;;;
30/09/2013;;3.1.02.01.0005;2.1.03.02.0001;1634,46;;PROV. FÉRIAS REF. AO MÊS - FERRAMENTARIA.;01;01;;;;;
30/09/2013;;3.1.02.01.0005;2.1.03.02.0001;2894,52;;PROV. FÉRIAS REF. AO MÊS - GER. PRODUÇÃO.;01;01;;;;;
30/09/2013;;3.1.02.01.0005;2.1.03.02.0001;394,36;;PROV. FÉRIAS REF. AO MÊS - ALMOXARIFADO.;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.02.0002;560,21;;PROV. INSS S/ FÉRIAS REF. AO MÊS - LOGÍSTICA.;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.02.0002;486,56;;PROV. INSS S/ FÉRIAS REF. AO MÊS - QUALIDADE.;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.02.0002;310,13;;PROV. INSS S/ FÉRIAS REF. AO MÊS - MANUTENÇÃO.;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.02.0002;207,58;;PROV. INSS S/ FÉRIAS REF. AO MÊS - FERRAMENTARIA.;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.02.0002;296,86;;PROV. INSS S/ FÉRIAS REF. AO MÊS - GER. PRODUÇÃO.;01;01;;;;;
30/09/2013;;3.1.02.01.0009;2.1.03.02.0002;31,66;;PROV. INSS S/ FÉRIAS REF. AO MÊS - ALMOXARIFADO.;01;01;;;;;
30/09/2013;;3.1.02.01.0006;2.1.03.02.0003;449,56;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - LOGÍSTICA.;01;01;;;;;
30/09/2013;;3.1.02.01.0006;2.1.03.02.0003;396,52;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - QUALIDADE.;01;01;;;;;
30/09/2013;;3.1.02.01.0006;2.1.03.02.0003;170,68;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - MANUTENÇÃO.;01;01;;;;;
30/09/2013;;3.1.02.01.0006;2.1.03.02.0003;130,75;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - FERRAMENTARIA.;01;01;;;;;
30/09/2013;;3.1.02.01.0006;2.1.03.02.0003;231,56;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - GER. PRODUÇÃO.;01;01;;;;;
30/09/2013;;3.1.02.01.0006;2.1.03.02.0003;31,55;;PROV. FGTS S/ FÉRIAS REF. AO MÊS - ALMOXARIFADO.;01;01;;;;;
30/09/2013;;3.2.01.01.0010;2.1.03.02.0001;554,71;;PROV. FÉRIAS REF. AO MÊS - COMERCIAL.;01;01;;;;;
