DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;18120,96;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - TAPETE;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;8886,24;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - REPARO ÁGUA;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;21605,76;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - PARA SOL;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;11848,32;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - ESPUMA;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;1045,44;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - EPP;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;522,72;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - BETUME;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;7840,80;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - ACÚSTICA;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;5526,56;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - TAPETE;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;2710,14;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - REPARO ÁGUA;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;6589,36;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - PARA SOL;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;3613,52;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - ESPUMA;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;318,84;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - EPP;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;162,72;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - BETUME;01;01;;;;;
30/06/2013;;3.1.01.02.0014;2.1.03.05.0003;2391,30;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - ACÚSTICA;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;2962,08;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - QUALIDADE;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;3136,32;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - MANUTENÇÃO;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;7318,08;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - LOGÍSTICA;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;1393,92;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - GER. PRODUÇÃO;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;1219,68;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - FERRAMENTARIA;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;522,72;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - ALMOXARIFADO;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;903,38;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - QUALIDADE;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;956,52;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - MANUTENÇÃO;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;2231,88;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - LOGÍSTICA;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;425,12;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - GER. PRODUÇÃO;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;371,98;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - FERRAMENTARIA;01;01;;;;;
30/06/2013;;3.1.02.01.0009;2.1.03.05.0003;159,42;;PROV. INSS S/ 20% FOLHA DO MÊS DE MAIO - ALMOXARIFADO;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;348,48;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - SEG. TRABALHO.;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;696,96;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - RH.;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;348,48;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - LABORATÓRIO;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;522,72;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - TI;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;1219,68;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - ENGENHARIA;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;871,20;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - DESENVOLVIMENTO;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;348,48;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - DIRETORIA;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;522,72;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - DEP. PESSOAL;01;01;;;;;
30/06/2013;;3.2.01.01.0014;2.1.03.05.0003;1568,16;;PROV. INSS S/ 1% FATURAMENTO DO MÊS DE MAIO - CONTROLADORIA;01;01;;;;;
