DATA;DOCUMENTO;CONTADEB;CONTACRED;VALOR;HP;HISTORICO;FILDEB;FILCRED;EVENTO;CONT;USER;INTEG_TO;XREF
31/12/2013;;1.1.02.01.0284;1.1.02.01.0019;59083,6;;Valor ref. Concilia?„es Financeiras ocorridas em 31/12/2013;01;01;;;;;
31/12/2013;;1.1.02.01.0192;1.1.02.01.0004;56984,44;;Valor ref. Concilia?„es Financeiras ocorridas em 31/12/2013;01;01;;;;;
31/12/2013;;2.1.02.01.0027;2.1.02.01.0091;11880;;Valor ref. Concilia?„es Financeiras ocorridas em 31/12/2013;01;01;;;;;
31/12/2013;;2.1.02.01.8585;2.1.02.01.0271;1898,79;;Valor ref. Concilia?„es Financeiras ocorridas em 31/12/2013;01;01;;;;;
31/12/2013;;2.1.02.01.0423;2.1.02.01.8521;5180,4;;Valor ref. Concilia?„es Financeiras ocorridas em 31/12/2013;01;01;;;;;
31/12/2013;;2.1.02.01.8404;2.1.02.01.8667;150;;Valor ref. Concilia?„es Financeiras ocorridas em 31/12/2013;01;01;;;;;
31/12/2013;;2.1.02.01.0473;2.1.02.01.8717;12857,96;;Valor ref. Concilia?„es Financeiras ocorridas em 31/12/2013;01;01;;;;;
